Vulnerability Name,Vulnerability ID,Category,Rule Name,Severity,Status,First Seen Time,Last Seen Time,Application Name,Application ID,How to Fix,Line Number,Source File Name,Code Snippet,CWE,OWASP,Reference,Language,Comment
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java:70,66f3f523416a1861bee3377a,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee3377a/howtofix,70,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java,"return executionResultsQueryController.getOperationExecutionDetails(resultReference, serviceName, stageName,
				toTimeStamp, fromTimeStamp, sortBy, order, status, pageSize, pageCount, serviceType, isInProgress,
				onlyBusinessData, onlyCustomMessages, applicationName, accountName, isExactMatch,
				Arrays.asList(projectName), resourceName, invocationChannel,customContextID, isSummaryRequired);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java:85,66f3f523416a1861bee3377b,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee3377b/howtofix,85,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java,"return convertToBase(
				flowServiceExecutionOperations.getLoggedBusinessData(resultReference, pageSize, pageCount));",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
DoS Regexp@packages/is-origin/build/docs/javadoc/jquery/external/jquery/jquery.js:9006,66f3f523416a1861bee3377d,INJECTION,DoS Regexp,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee3377d/howtofix,9006,packages/is-origin/build/docs/javadoc/jquery/external/jquery/jquery.js,/^(.*?):[ \t]*([^\r\n]*)$/mg,https://cwe.mitre.org/data/definitions/400.html,https://www.owasp.org/index.php/Regular_expression_Denial_of_Service_-_ReDoS,https://snyk.io/blog/redos-and-catastrophic-backtracking/,JAVASCRIPT,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java:70,66f3f523416a1861bee3377e,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee3377e/howtofix,70,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java,"return executionResultsQueryController.getOperationExecutionDetails(resultReference, serviceName, stageName,
				toTimeStamp, fromTimeStamp, sortBy, order, status, pageSize, pageCount, serviceType, isInProgress,
				onlyBusinessData, onlyCustomMessages, applicationName, accountName, isExactMatch,
				Arrays.asList(projectName), resourceName, invocationChannel,customContextID, isSummaryRequired);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java:102,66f3f523416a1861bee3377f,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee3377f/howtofix,102,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java,"return flowServiceExecutionOperations.markIntegrationExportable(serviceName,serviceInput,projectName);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceResource.java:113,66f3f523416a1861bee33781,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee33781/howtofix,113,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceResource.java,"return new ResponseEntity<CustomIDataMap>(flowJson, HttpStatus.OK);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceResource.java:222,66f3f523416a1861bee33782,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee33782/howtofix,222,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceResource.java,"return new ResponseEntity<>(flowServiceMetadata, HttpStatus.OK);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java:102,66f3f523416a1861bee33783,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee33783/howtofix,102,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java,"return flowServiceExecutionOperations.markIntegrationExportable(serviceName,serviceInput,projectName);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java:70,66f3f523416a1861bee33786,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee33786/howtofix,70,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceExecutionResource.java,"return executionResultsQueryController.getOperationExecutionDetails(resultReference, serviceName, stageName,
				toTimeStamp, fromTimeStamp, sortBy, order, status, pageSize, pageCount, serviceType, isInProgress,
				onlyBusinessData, onlyCustomMessages, applicationName, accountName, isExactMatch,
				Arrays.asList(projectName), resourceName, invocationChannel,customContextID, isSummaryRequired);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
Cross Site Scripting Rule@modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceResource.java:222,66f3f523416a1861bee33787,INJECTION,Cross Site Scripting Rule,CRITICAL,REPORTED,2024-09-25T11:33:54.988Z,2024-09-25T11:33:54.988Z,unifiedTooling,29247bee-4b4a-4902-ab6c-7dbc5344a0ba,https://app.contrastsecurity.com/Contrast/static/ng/index.html#/142bb017-de7e-4af7-b5b9-f0782aa6d369/scans/29247bee-4b4a-4902-ab6c-7dbc5344a0ba/vulnerabilities/66f3f523416a1861bee33787/howtofix,222,modules/flow/src/main/java/com/softwareag/wmic/unfiedtooling/rest/FlowServiceResource.java,"return new ResponseEntity<>(flowServiceMetadata, HttpStatus.OK);",http://cwe.mitre.org/data/definitions/79.html,https://www.owasp.org/index.php/XSS_(Cross_Site_Scripting)_Prevention_Cheat_Sheet,https://www.google.es/about/appsecurity/learning/xss/,JAVA,
